timestamp,open,high,low,close,volume
2021-03-03 20:00:00,121.9400,122.0000,121.9400,122.0000,3611
2021-03-03 19:50:00,121.9500,121.9500,121.9500,121.9500,855
2021-03-03 19:40:00,121.9800,121.9800,121.9800,121.9800,216
2021-03-03 19:25:00,121.7000,121.7000,121.7000,121.7000,386
2021-03-03 19:05:00,122.2000,122.2000,122.0000,122.0000,312
2021-03-03 18:35:00,122.2900,122.2900,122.0000,122.0000,1674
2021-03-03 18:30:00,122.4900,122.4900,122.4900,122.4900,109
2021-03-03 18:25:00,122.5000,122.5000,122.5000,122.5000,175
2021-03-03 18:00:00,122.0700,122.0700,122.0700,122.0700,101
2021-03-03 17:50:00,122.0700,122.0700,122.0700,122.0700,201
2021-03-03 17:15:00,122.0600,122.0600,122.0600,122.0600,300
2021-03-03 17:05:00,122.1500,122.1500,122.1500,122.1500,217
2021-03-03 16:45:00,122.3600,122.3600,122.3600,122.3600,4217
2021-03-03 16:40:00,122.3000,122.5000,122.3000,122.5000,1436
2021-03-03 16:35:00,122.3600,122.3600,122.3600,122.3600,7450
2021-03-03 16:25:00,122.3000,122.3000,122.2800,122.2800,650
2021-03-03 16:20:00,122.3600,122.3600,122.3000,122.3000,16101
2021-03-03 16:15:00,121.6339,121.6339,121.6339,121.6339,41501
2021-03-03 16:10:00,122.0000,122.3000,122.0000,122.3000,535
2021-03-03 16:05:00,122.3600,122.3600,122.1600,122.1600,451788
2021-03-03 16:00:00,122.3400,122.4500,122.2850,122.3500,367323
2021-03-03 15:55:00,122.3950,122.4200,122.2100,122.3500,186285
2021-03-03 15:50:00,122.5500,122.6340,122.4000,122.4000,144260
2021-03-03 15:45:00,122.3500,122.5690,122.3500,122.5600,87673
2021-03-03 15:40:00,122.2891,122.3900,122.2700,122.3532,93301
2021-03-03 15:35:00,122.3250,122.4348,122.2200,122.2900,95844
2021-03-03 15:30:00,122.2600,122.4000,122.1310,122.3400,96049
2021-03-03 15:25:00,122.2950,122.3100,122.1600,122.2400,72280
2021-03-03 15:20:00,122.3800,122.3800,122.1700,122.2800,73447
2021-03-03 15:15:00,122.0650,122.5300,122.0500,122.3650,190881
2021-03-03 15:10:00,122.0100,122.1200,121.9437,122.0400,64959
2021-03-03 15:05:00,121.8900,122.0900,121.8500,122.0100,84228
2021-03-03 15:00:00,121.9800,122.0300,121.8500,121.9200,64642
2021-03-03 14:55:00,121.5500,122.0150,121.5200,121.9683,135008
2021-03-03 14:50:00,121.5600,121.6600,121.3500,121.4500,62658
2021-03-03 14:45:00,121.5610,121.7100,121.5400,121.5400,57086
2021-03-03 14:40:00,121.4700,121.6000,121.4500,121.5750,71190
2021-03-03 14:35:00,121.9200,121.9700,121.4300,121.4903,62560
2021-03-03 14:30:00,121.8500,121.9900,121.8000,121.9500,72064
2021-03-03 14:25:00,121.8200,121.8900,121.7050,121.8600,68887
2021-03-03 14:20:00,121.9200,121.9200,121.7925,121.7950,42995
2021-03-03 14:15:00,121.6550,121.9300,121.6550,121.9300,34100
2021-03-03 14:10:00,121.6134,121.7186,121.5600,121.6600,45215
2021-03-03 14:05:00,121.7460,121.8100,121.6200,121.6200,36564
2021-03-03 14:00:00,121.6200,121.7800,121.6000,121.7800,42620
2021-03-03 13:55:00,121.7100,121.7850,121.6000,121.6350,41718
2021-03-03 13:50:00,122.0300,122.0378,121.7100,121.7100,75604
2021-03-03 13:45:00,121.9400,122.1300,121.8900,122.0100,79657
2021-03-03 13:40:00,121.8300,121.9600,121.7900,121.9400,56837
2021-03-03 13:35:00,121.9800,121.9900,121.8000,121.8400,39042
2021-03-03 13:30:00,121.8400,122.0000,121.8100,121.9847,48245
2021-03-03 13:25:00,121.6200,121.8500,121.5901,121.8500,26286
2021-03-03 13:20:00,121.4558,121.6737,121.4100,121.6300,90105
2021-03-03 13:15:00,121.3300,121.5478,121.3102,121.4400,45289
2021-03-03 13:10:00,121.3900,121.4372,121.3100,121.3100,82516
2021-03-03 13:05:00,121.3000,121.4200,121.3000,121.4099,32876
2021-03-03 13:00:00,121.4000,121.4300,121.2800,121.3200,38872
2021-03-03 12:55:00,121.4900,121.5400,121.3570,121.3800,48533
2021-03-03 12:50:00,121.3400,121.5200,121.2200,121.4850,89313
2021-03-03 12:45:00,121.5100,121.5700,121.2900,121.3500,76384
2021-03-03 12:40:00,121.5478,121.5900,121.4700,121.5130,53109
2021-03-03 12:35:00,121.4242,121.5500,121.3400,121.5500,53039
2021-03-03 12:30:00,121.3064,121.5000,121.2900,121.4499,70495
2021-03-03 12:25:00,121.2104,121.3700,121.0800,121.3300,142249
2021-03-03 12:20:00,121.3100,121.3900,121.0600,121.2000,404628
2021-03-03 12:15:00,121.0900,121.3800,120.9500,121.3200,231684
2021-03-03 12:10:00,120.6200,121.1000,120.6000,121.0700,230638
2021-03-03 12:05:00,120.6100,120.6700,120.5510,120.6226,29101
2021-03-03 12:00:00,120.5800,120.6900,120.5650,120.6540,31610
2021-03-03 11:55:00,120.4950,120.6500,120.4200,120.5600,46313
2021-03-03 11:50:00,120.5700,120.6000,120.4000,120.4900,34492
2021-03-03 11:45:00,120.3750,120.5654,120.3450,120.5400,27498
2021-03-03 11:40:00,120.6522,120.6522,120.3600,120.3600,34827
2021-03-03 11:35:00,120.3600,120.6900,120.3600,120.6500,30128
2021-03-03 11:30:00,120.3500,120.4400,120.2303,120.3400,48829
2021-03-03 11:25:00,120.3200,120.3641,120.2600,120.3641,28820
2021-03-03 11:20:00,120.1400,120.3850,120.1100,120.3300,31968
2021-03-03 11:15:00,120.2250,120.2950,120.1300,120.1300,21352
2021-03-03 11:10:00,120.1023,120.2626,120.1023,120.2200,28336
2021-03-03 11:05:00,120.2800,120.2851,120.0500,120.0700,29598
2021-03-03 11:00:00,120.1800,120.3800,120.1300,120.3252,44266
2021-03-03 10:55:00,120.2282,120.2700,120.1100,120.1900,34476
2021-03-03 10:50:00,120.3300,120.4200,120.1300,120.2100,39323
2021-03-03 10:45:00,120.5600,120.5800,120.2850,120.3200,28676
2021-03-03 10:40:00,120.5700,120.6600,120.4850,120.6100,24608
2021-03-03 10:35:00,120.5600,120.6900,120.3950,120.5700,63907
2021-03-03 10:30:00,120.7100,120.8000,120.5700,120.5923,68488
2021-03-03 10:25:00,120.4000,120.7400,120.3550,120.7150,40293
2021-03-03 10:20:00,120.5700,120.5700,120.3700,120.3900,39954
2021-03-03 10:15:00,120.7600,120.7600,120.5500,120.5800,60064
2021-03-03 10:10:00,120.6900,120.9350,120.6900,120.8000,46659
2021-03-03 10:05:00,120.4900,120.7200,120.4100,120.7100,40738
2021-03-03 10:00:00,120.9750,121.0600,120.4850,120.5000,57042
2021-03-03 09:55:00,120.6200,121.0100,120.6200,120.9799,44969
2021-03-03 09:50:00,120.4100,120.7850,120.3000,120.6550,179012
2021-03-03 09:45:00,120.0700,120.4300,120.0600,120.3680,54710
2021-03-03 09:40:00,120.3000,120.3900,119.9800,120.0300,108071
2021-03-03 09:35:00,120.5000,120.7300,120.2550,120.2550,267820
2021-03-03 09:30:00,120.5500,120.5500,120.5500,120.5500,1043
2021-03-03 09:25:00,120.7100,120.7100,120.7100,120.7100,301
